32
40
69
30
0, 5, 500, 50
1, 6, 500, 50
2, 7, 500, 50
3, 8, 500, 50
4, 5, 500, 50
5, 6, 500, 50
6, 7, 500, 50
7, 8, 500, 50
8, 9, 500, 50
5, 11, 500, 50
6, 12, 500, 50
7, 13, 500, 50
8, 14, 500, 50
10, 11, 500, 50
11, 12, 500, 50
12, 13, 500, 50
13, 14, 500, 50
14, 15, 500, 50
11, 17, 500, 50
12, 18, 500, 50
13, 19, 500, 50
14, 20, 500, 50
20, 21, 500, 50
16, 17, 500, 50
17, 18, 500, 50
18, 19, 500, 50
19, 20, 500, 50
17, 23, 500, 50
18, 24, 500, 100
19, 25, 500, 100
20, 26, 500, 100
22, 23, 500, 100
23, 24, 500, 100
24, 25, 500, 100
25, 26, 500, 100
26, 27, 500, 100
23, 28, 500, 100
24, 29, 500, 100
25, 30, 500, 100
26, 31, 500, 100
